Contig	T0-R-Dry-soil-A Mean	T0-R-Dry-soil-B Mean	T0-R-Dry-soil-C Mean	T1-R-H218O-A Mean	T1-R-H218O-B Mean	T1-R-H218O-C Mean	T1-R-H218O-P-A Mean	T1-R-H218O-P-B Mean	T1-R-H218O-P-C Mean	T1-R-H2O-A Mean	T1-R-H2O-B Mean	T1-R-H2O-C Mean	T1-R-H2O-P-A Mean	T1-R-H2O-P-B Mean	T1-R-H2O-P-C Mean	T2-R-H218O-A Mean	T2-R-H218O-B Mean	T2-R-H218O-C Mean	T2-R-H218O-P-A Mean	T2-R-H218O-P-B Mean	T2-R-H218O-P-C Mean	T2-R-H2O-A Mean	T2-R-H2O-B Mean	T2-R-H2O-C Mean	T2-R-H2O-P-A Mean	T2-R-H2O-P-B Mean	T2-R-H2O-P-C Mean	T3-R-H218O-A Mean	T3-R-H218O-B Mean	T3-R-H218O-C Mean	T3-R-H218O-P-A Mean	T3-R-H218O-P-B Mean	T3-R-H218O-P-C Mean	T3-R-H2O-A Mean	T3-R-H2O-B Mean	T3-R-H2O-C Mean	T3-R-H2O-P-A Mean	T3-R-H2O-P-B Mean	T3-R-H2O-P-C Mean
NODE_1226_length_23039_cov_8.450828__full	0	0	0	0.036349338	0	0.012669842	0	0	0	0	0.012669842	0	0	0	0	0.012669842	0.0064659882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012669842	0	0	0.025339684	0	0	0	0
NODE_1230_length_22984_cov_12.652960__full	0	0	0	0	0	0	0	0	0	0	0.0063501797	0.0063501797	0	0	0	0	0	0	0	0	0	0.012700359	0	0	0	0	0	0.010028904	0	0	0	0	0	0.012700359	0	0	0	0	0
NODE_1238_length_22869_cov_7.882653__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03609314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1242_length_22836_cov_17.676255__full	0	0.025566429	0	0.012783214	0	0	0	0.038349643	0.012783214	0.012783214	0.025566429	0.01644186	0.048576213	0.025566429	0.012518734	0	0.025566429	0.0126950545	0	0	0	0.025566429	0.012650974	0.009873931	0.012342414	0.012783214	0	0	0	0.009873931	0.012783214	0	0.012783214	0.024067707	0.012783214	0	0	0	0
NODE_1244_length_22784_cov_6.745206__full	0.008571176	0	0	0	0	0	0	0	0	0	0.012812583	0	0	0	0	0	0	0	0	0	0.012812583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1252_length_22729_cov_13.297039__full	0	0.002258736	0.005137517	0.023295984	0.08206741	0.07675274	0.08817928	0.1149298	0.027060542	0.12516055	0.043890342	0.06860357	0.034943976	0.036671244	0.083883256	0.034368217	0.010275034	0.03388104	0.036892686	0.041941628	0.028167766	0.031267993	0.043314584	0.032109484	0.019265689	0.01545684	0.05739847	0.06470614	0.020284334	0.038531378	0.0700651	0.030470792	0.008636343	0.03051508	0.05974578	0.019885734	0.023650294	0.040790115	0.0028787812
NODE_1256_length_22665_cov_6.323894__full	0	0	0	0.021319121	0.012880302	0	0.025760604	0	0	0.025760604	0	0.076215856	0	0	0	0.025494115	0	0.021940928	0	0	0	0	0.025760604	0.046990894	0	0	0	0.012880302	0	0.07728181	0	0	0	0.012880302	0.010304241	0	0	0	0
NODE_1257_length_22654_cov_13.641188__full	0.011908994	0.010398151	0	0	0.006221116	0.010131532	0.074475646	0.021418415	0.022662638	0	0	0	0	0.038659792	0.00977604	0.05154639	0	0.012264486	0	0.012886598	0.031727694	0.036615714	0.025773196	0	0.026972983	0.012886598	0	0.038659792	0.008798436	0.030972272	0.012886598	0.05154639	0.010220406	0.02070743	0.051368646	0.012175613	0.024795592	0.021062922	0
NODE_1261_length_22632_cov_17.146807__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1267_length_22570_cov_8.288639__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1269_length_22544_cov_12.916908__full	0	0	0	0	0	0.019424846	0	0.025899794	0	0	0	0	0.012949897	0	0	0	0	0	0	0.0074127	0.012949897	0.012949897	0	0	0	0	0	0.012949897	0	0	0	0	0	0	0.012949897	0	0	0	0
NODE_1270_length_22537_cov_10.495766__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012953946	0	0	0	0	0	0	0.006476973	0	0	0	0	0	0.0027694644	0	0.012953946	0	0	0	0	0	0	0	0	0	0
NODE_1275_length_22481_cov_8.460772__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1281_length_22419_cov_8.996013__full	0.012214289	0	0.013022588	0	0.013022588	0	0	0	0	0	0.013022588	0	0	0	0	0	0.006376577	0	0	0	0	0	0	0.013022588	0	0	0	0	0	0	0	0	0	0	0	0.026045175	0	0.006511294	0
NODE_1302_length_22206_cov_12.070928__full	0	0	0	0	0.019722525	0	0	0	0	0	0	0	0	0	0	0	0	0.01314835	0	0	0	0	0	0	0	0	0	0	0.01314835	0	0	0	0.01314835	0	0.01314835	0	0	0	0
