Contig	T0_A Trimmed Mean	T0_B Trimmed Mean	T0_C Trimmed Mean	T1H218OP_A Trimmed Mean	T1H218OP_B Trimmed Mean	T1H218OP_C Trimmed Mean	T1H218O_A Trimmed Mean	T1H218O_B Trimmed Mean	T1H218O_C Trimmed Mean	T1H2OP_A Trimmed Mean	T1H2OP_B Trimmed Mean	T1H2OP_C Trimmed Mean	T1H2O_A Trimmed Mean	T1H2O_B Trimmed Mean	T1H2O_C Trimmed Mean	T2H218OP_A Trimmed Mean	T2H218OP_B Trimmed Mean	T2H218OP_C Trimmed Mean	T2H218O_A Trimmed Mean	T2H218O_B Trimmed Mean	T2H218O_C Trimmed Mean	T2H2OP_A Trimmed Mean	T2H2OP_B Trimmed Mean	T2H2OP_C Trimmed Mean	T2H2O_A Trimmed Mean	T2H2O_B Trimmed Mean	T2H2O_C Trimmed Mean	T3H218OP_A Trimmed Mean	T3H218OP_B Trimmed Mean	T3H218OP_C Trimmed Mean	T3H218O_B Trimmed Mean	T3H218O_C Trimmed Mean	T3H2OP_A Trimmed Mean	T3H2OP_B Trimmed Mean	T3H2OP_C Trimmed Mean	T3H2O_A Trimmed Mean	T3H2O_B Trimmed Mean	T3H2O_C Trimmed Mean
NODE_2976_length_16043_cov_35.426555__full	12.256623	0	13.8223	0	0	15.783013	0	17.03635	0	14.298428	19.30423	0	27.699615	19.432995	16.212723	28.546242	57.927437	48.65397	20.86676	12.872492	31.952883	24.813562	21.390633	57.102413	4.5038795	18.857672	4.6608877	9.565467	11.237539	20.159664	6.7164626	43.065292	37.37029	17.528625	11.609787	18.85886	34.70598	26.543446
NODE_2979_length_16034_cov_8.440038__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.078552	39.3296	53.295956	28.141857	72.49636	22.304491	30.093452	53.72048	22.821558	75.12171	12.213206	5.418928	8.528749	18.370804	7.8927674	61.98461	34.893745	0	57.606113	124.68425	60.16655	46.090656
NODE_2985_length_16022_cov_8.438925__full	0	0	0	0	0	0	0	0	0	0	0	43.819122	0	0	0	0	40.55698	21.603249	26.275585	18.46409	37.49881	3.3774323	6.5213494	28.382612	3.8831723	20.653507	4.2183957	0	0	6.3092537	0	0	0	0	0	0	0	0
NODE_2986_length_16019_cov_7.328706__full	0	0	14.106561	0	0	0	24.704124	0	0	32.138416	62.763985	32.68599	18.219212	13.645943	0	0	21.917875	23.065182	30.415249	13.675138	23.410137	8.745011	16.15396	20.833439	7.748792	24.57026	6.2441363	0	0	5.259189	0	0	0	0	9.880347	0	0	0
NODE_2987_length_16018_cov_13.078774__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.571768	0	0	0	17.289175	0	6.3237643	0	0	20.480536	0	0	0	5.822924	0	0	0	0	0	0	0	0
NODE_2995_length_15996_cov_17.862616__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.94573	73.80928	41.464172	51.33053	21.423223	38.618847	10.634132	11.808442	27.147806	3.464451	22.462627	5.4528117	8.430585	6.4035897	13.913266	6.097812	0	0	0	0	0	0	0
NODE_2997_length_15989_cov_12.982819__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.404713	67.4118	72.96163	34.99979	24.305254	47.320053	14.015922	23.819948	89.41194	5.5030513	15.021183	4.8112507	9.28365	16.873535	23.744055	14.214421	24.500526	56.882164	21.127165	25.28379	44.669987	40.60202	37.00961
NODE_3004_length_15938_cov_65.371867__full	0	0	0	22.054821	0	19.309149	0	0	0	0	0	0	27.092682	16.55095	16.829134	27.61527	169.04799	146.65877	30.679943	10.689374	22.520126	33.69402	83.36122	114.71372	3.226601	16.075298	5.61703	20.753344	24.781069	44.217243	7.037579	86.16418	46.56777	0	0	0	53.62829	34.982475
NODE_3008_length_15934_cov_9.316767__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.31557	35.2884	9.276292	0	11.806138	10.330283	14.8580885	29.445938	0	9.206884	0	4.664438	0	12.275236	0	22.160988	20.30121	0	0	0	0	16.28481
NODE_3009_length_15930_cov_6.756175__full	0	0	0	0	0	30.473806	0	0	0	0	0	0	29.566118	25.772497	0	0	32.572384	33.151318	21.063583	6.15188	21.271511	8.508308	14.218631	26.912619	0	9.988523	0	5.0949864	0	8.03408	0	0	0	0	0	0	0	0
NODE_3019_length_15877_cov_10.634871__full	0	0	0	0	0	34.287674	0	0	0	0	0	0	0	0	0	0	48.303993	26.92886	0	0	11.654892	2.696079	0	28.496008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3023_length_15846_cov_14.039119__full	0	0	0	50.189198	0	27.897083	0	0	0	0	0	0	0	33.48025	0	29.919592	75.232376	113.70895	40.627266	27.74101	38.535744	5.4505944	17.35228	25.808819	0	0	6.083593	7.0082107	14.978199	13.412585	0	0	0	25.126345	0	0	0	0
NODE_3026_length_15839_cov_8.164422__full	57.792084	0	51.70526	0	0	0	0	0	0	0	0	0	0	19.048014	0	23.824305	37.04447	32.54642	47.323845	11.266412	48.209686	9.705403	31.369946	45.033	6.440266	34.209972	3.815098	0	0	9.794065	0	45.49713	0	0	29.276892	27.099638	26.687841	28.05821
NODE_3027_length_15835_cov_8.279359__full	36.76539	0	46.73918	36.919315	0	31.837217	0	0	0	0	0	0	0	13.072466	0	0	17.838564	31.39371	0	0	0	0	0	11.143019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3030_length_15817_cov_10.533083__full	0	0	0	0	0	15.090136	0	0	0	0	0	0	0	13.171973	0	23.210766	34.03184	35.64953	45.006027	19.785618	72.22715	10.756542	20.489752	38.52585	6.067442	16.582016	4.9774485	4.585774	9.265017	13.771151	7.234097	21.274164	17.462236	12.742642	23.869867	36.70839	26.145521	23.40834
NODE_3031_length_15817_cov_8.867795__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.805687	21.627756	0	0	0	6.940217	22.136444	16.300972	0	7.2158003	0	0	0	5.542302	0	0	0	0	0	0	0	0
NODE_3034_length_15813_cov_9.668958__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.406116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3035_length_15810_cov_7.804914__full	0	0	25.298708	0	0	0	0	0	0	0	0	0	0	0	0	0	30.114233	42.142685	16.903221	8.5318575	17.97687	11.322904	22.567263	24.335108	0	12.173903	0	10.340713	8.67213	10.756492	0	15.648149	16.106073	0	0	0	0	0
NODE_3036_length_15809_cov_11.504774__full	0	0	0	0	0	32.427315	0	0	0	0	0	0	0	0	23.409649	25.479462	53.06676	68.00993	0	9.414402	16.664774	7.5176306	11.705782	21.55956	0	0	0	10.205534	14.059312	11.089109	0	0	17.281164	0	0	0	0	0
