Contig	T0-E-Dry-soil-A Mean	T0-E-Dry-soil-B Mean	T0-E-Dry-soil-C Mean	T1-E-H218O-A Mean	T1-E-H218O-B Mean	T1-E-H218O-C Mean	T1-E-H218O-P-A Mean	T1-E-H218O-P-B Mean	T1-E-H218O-P-C Mean	T1-E-H2O-A Mean	T1-E-H2O-B Mean	T1-E-H2O-C Mean	T1-E-H2O-P-A Mean	T1-E-H2O-P-B Mean	T1-E-H2O-P-C Mean	T2-E-H218O-A Mean	T2-E-H218O-B Mean	T2-E-H218O-C Mean	T2-E-H218O-P-A Mean	T2-E-H218O-P-B Mean	T2-E-H218O-P-C Mean	T2-E-H2O-A Mean	T2-E-H2O-B Mean	T2-E-H2O-C Mean	T2-E-H2O-P-A Mean	T2-E-H2O-P-B Mean	T2-E-H2O-P-C Mean	T3-E-H218O-A Mean	T3-E-H218O-B Mean	T3-E-H218O-C Mean	T3-E-H218O-P-A Mean	T3-E-H218O-P-B Mean	T3-E-H218O-P-C Mean	T3-E-H2O-A Mean	T3-E-H2O-B Mean	T3-E-H2O-C Mean	T3-E-H2O-P-A Mean	T3-E-H2O-P-B Mean	T3-E-H2O-P-C Mean
NODE_1160_length_16095_cov_9.374469__full	0	0	0	0	0	0	0	0	0	0.017560365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1163_length_16077_cov_4.497809__full	0.1400766	0.09411691	0	0	0	0	0	0	0	0.01758021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1168_length_16043_cov_4.389739__full	0.026426729	0.01761782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1179_length_15959_cov_8.158386__full	0.22911	0.14169145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1194_length_15843_cov_6.837462__full	0.80290574	0.562034	0	0	0	0	0	0	0	0.017714905	0	0	0.01784235	0	0.01784235	0.008921175	0	0	0	0	0	0	0	0.01784235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1205_length_15748_cov_4.817816__full	0.16906014	0.304975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1210_length_15698_cov_4.315341__full	0.089657836	0.08103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1214_length_15658_cov_6.404718__full	0.045137994	0.009027598	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031854525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1219_length_15612_cov_4.262554__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1222_length_15596_cov_11.742144__full	0.19034053	0.16314903	0	0	0	0	0	0	0	0.01812767	0	0	0	0	0	0.054383013	0	0	0	0	0	0	0	0	0	0.090638354	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1225_length_15581_cov_7.398592__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1237_length_15517_cov_6.649955__full	1.0459425	1.1570247	0	0	0	0	0	0	0	0.043730073	0	0	0	0	0	0.009110431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1242_length_15476_cov_15.351304__full	2.9594805	3.397364	0	0	0	0	0	0	0	0.0788203	0	0	0	0	0.02740441	0	0	0	0	0	0	0.018269608	0	0.036017224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
