"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_91_length_43487_cov_48.136005__full",0.0153305582710416,0.0126900932842936,0.0907930003405011,0,0.153015062541701,0,0,0,0,0.00597329471562701,0,0,0,0,0.0174365669778449,0.0140736491658646,0.0161927904995387,0,0,0,0,0.128388976929493,0,0.0587880707055475,0,0.0283988618828258,0,0,0,0,0,0,0,0.0449483290084164,0,0,0,0,0
"NODE_96_length_41591_cov_135.443001__full",0.00792581162731785,0.0148238575060737,0.0316489811132526,0,0,0,0,0,0,0.00142585057968987,0,0,0,0,0,0.00537276733998087,0,0,0,0,0,0,0,0,0,0,0.370491389116816,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_111_length_38212_cov_69.900165__full",0.0127137310965738,0.011001074565245,0,0,0,0,0,0,0,0.0082180340585191,0,0,0,0.139323807000763,0,0.00292487042890823,0,0,0,0,0,0,0,0,0,0.0116972895535932,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_115_length_37299_cov_41.177581__full",0.00178448595150353,0.0021004763278099,0,0,0,0,0,0,0,0.00674105449449725,0,0,0,0,0,0,0,0,0,0,0,0.0141107044981917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_118_length_36985_cov_60.762972__full",0.00900910791728278,0.00980676363833036,0.0534097476924834,0,0,0,0,0,0,0.00184603968568081,0,0,0,0.071982390745365,0,0,0,0,0,0,0,0.0128078924713288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_123_length_36114_cov_59.899820__full",0.0105261818458794,0.0125511750821498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_124_length_35977_cov_52.662830__full",0.00309729600710144,0.0055250472505045,0.018304147756158,0.0903081738532753,0,0,0,0,0,0.00549759266773556,0,0,0,0,0,0.00621466624145381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_132_length_34458_cov_93.360575__full",0.0322140817519834,0.029710587443182,0,0,0,0,0,0,0,0.00191366667337753,0,0,0.119201158307601,0.0772843391677319,0,0,0,0,0,0,0,0.0458375790452584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_134_length_33355_cov_56.191755__full",0.0123094310011433,0.00818104982148237,0,0,0,0,0,0,0,0.011863408991409,0,0,0,0,0,0.00838175151971638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_135_length_33252_cov_43.910687__full",0.014912001306765,0.0161878860136341,0.0396219401578064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_136_length_33176_cov_52.261239__full",0.00711113471632266,0.0105424641814338,0.0397131150297728,0,1.00393834894191,0,0,0,0,0.117069037274202,0,0,0,0.3211374425786,0.0343206202272296,0.0453382296220014,0.100929512760398,0,0,0,0,0.0158722981013577,0,0,0,0.026961922985987,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_141_length_32564_cov_48.668258__full",0.0106980363046409,0.0103797807081771,0,0,0,0,0,0,0,0.0060764562720495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196496784048556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_144_length_31859_cov_48.756927__full",0.00236332367929374,0.00164055624790687,0,0,0,0,0,0,0,0.00414103769769747,0,0.258026878647866,0,0,0,0.00351087767953918,0,0,0,0,0,0,0,0.0150649184375383,0,0.028081758698724,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_154_length_30541_cov_44.779548__full",0.00336678788585701,0.00323321873973753,0.0215781873113583,0,0,0,0,0,0,0.00864125317076186,0,0,0,0,0,0.00845138182246089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
